"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"2","0.586439891","SamsungE_24:fa:c0","Broadcast","802.11","155","-66 dBm","Probe Request, SN=549, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"3","0.588422705","SamsungE_24:fa:c0","Broadcast","802.11","160","-66 dBm","Probe Request, SN=550, FN=0, Flags=........C, SSID=""pollo"""
"4","0.589603750","SamsungE_24:fa:c0","Broadcast","802.11","166","-66 dBm","Probe Request, SN=551, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"5","0.594902438","SamsungE_24:fa:c0","Broadcast","802.11","155","-67 dBm","Probe Request, SN=552, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"6","0.596029686","SamsungE_24:fa:c0","Broadcast","802.11","160","-66 dBm","Probe Request, SN=553, FN=0, Flags=........C, SSID=""pollo"""
"7","0.597170359","SamsungE_24:fa:c0","Broadcast","802.11","166","-66 dBm","Probe Request, SN=554, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"8","0.636303519","SamsungE_24:fa:c0","Broadcast","802.11","155","-65 dBm","Probe Request, SN=555, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"9","0.637388123","SamsungE_24:fa:c0","Broadcast","802.11","160","-64 dBm","Probe Request, SN=556, FN=0, Flags=........C, SSID=""pollo"""
"10","0.645894980","SamsungE_24:fa:c0","Broadcast","802.11","160","-64 dBm","Probe Request, SN=559, FN=0, Flags=........C, SSID=""pollo"""
"11","0.647197287","SamsungE_24:fa:c0","Broadcast","802.11","166","-64 dBm","Probe Request, SN=560, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"97","39.771389823","SamsungE_24:fa:c0","Broadcast","802.11","166","-56 dBm","Probe Request, SN=14, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"98","39.801997619","SamsungE_24:fa:c0","Broadcast","802.11","166","-56 dBm","Probe Request, SN=16, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"99","39.900516314","SamsungE_24:fa:c0","Broadcast","802.11","166","-56 dBm","Probe Request, SN=17, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"100","40.040172831","SamsungE_24:fa:c0","Broadcast","802.11","166","-57 dBm","Probe Request, SN=18, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"101","40.057001384","SamsungE_24:fa:c0","Broadcast","802.11","166","-57 dBm","Probe Request, SN=19, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"102","40.245104206","SamsungE_24:fa:c0","Broadcast","802.11","166","-59 dBm","Probe Request, SN=21, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"103","40.260254541","SamsungE_24:fa:c0","Broadcast","802.11","166","-59 dBm","Probe Request, SN=22, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"104","40.275612597","SamsungE_24:fa:c0","Broadcast","802.11","166","-59 dBm","Probe Request, SN=23, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"106","40.465106906","SamsungE_24:fa:c0","Broadcast","802.11","166","-56 dBm","Probe Request, SN=25, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"203","75.594252032","SamsungE_24:fa:c0","Broadcast","802.11","155","-61 dBm","Probe Request, SN=57, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"204","75.595293247","SamsungE_24:fa:c0","Broadcast","802.11","160","-61 dBm","Probe Request, SN=58, FN=0, Flags=........C, SSID=""pollo"""
"205","75.596557178","SamsungE_24:fa:c0","Broadcast","802.11","166","-60 dBm","Probe Request, SN=59, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"206","75.602750502","SamsungE_24:fa:c0","Broadcast","802.11","155","-61 dBm","Probe Request, SN=60, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"207","75.603687431","SamsungE_24:fa:c0","Broadcast","802.11","160","-60 dBm","Probe Request, SN=61, FN=0, Flags=........C, SSID=""pollo"""
"208","75.604912556","SamsungE_24:fa:c0","Broadcast","802.11","166","-60 dBm","Probe Request, SN=62, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"209","75.615516520","SamsungE_24:fa:c0","Broadcast","802.11","155","-60 dBm","Probe Request, SN=63, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
