"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"10","4.643353428","SamsungE_24:fa:c0","Broadcast","802.11","155","-74 dBm","Probe Request, SN=841, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"11","4.644371761","SamsungE_24:fa:c0","Broadcast","802.11","160","-73 dBm","Probe Request, SN=842, FN=0, Flags=........C, SSID=""pollo"""
"12","4.645560320","SamsungE_24:fa:c0","Broadcast","802.11","166","-75 dBm","Probe Request, SN=843, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"13","4.651826968","SamsungE_24:fa:c0","Broadcast","802.11","155","-75 dBm","Probe Request, SN=844, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"14","4.652844983","SamsungE_24:fa:c0","Broadcast","802.11","160","-76 dBm","Probe Request, SN=845, FN=0, Flags=........C, SSID=""pollo"""
"15","4.653893895","SamsungE_24:fa:c0","Broadcast","802.11","166","-75 dBm","Probe Request, SN=846, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"16","4.715835783","Cisco_74:3a:03","SamsungE_24:fa:c0","802.11","284","-75 dBm","Probe Response, SN=3216, FN=0, Flags=....R...C, BI=100, SSID=""WI_FIIS"""
"17","4.741512722","Cisco_74:3a:00","SamsungE_24:fa:c0","802.11","290","-76 dBm","Probe Response, SN=3217, FN=0, Flags=........C, BI=100, SSID=""FIIS_Docentes"""
"42","17.793701966","SamsungE_24:fa:c0","Broadcast","802.11","155","-84 dBm","Probe Request, SN=982, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"43","17.794705628","SamsungE_24:fa:c0","Broadcast","802.11","160","-84 dBm","Probe Request, SN=983, FN=0, Flags=........C, SSID=""pollo"""
"44","17.795824393","SamsungE_24:fa:c0","Broadcast","802.11","166","-81 dBm","Probe Request, SN=984, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"45","17.802159140","SamsungE_24:fa:c0","Broadcast","802.11","155","-77 dBm","Probe Request, SN=985, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"46","17.803059045","SamsungE_24:fa:c0","Broadcast","802.11","160","-80 dBm","Probe Request, SN=986, FN=0, Flags=........C, SSID=""pollo"""
"47","17.804224411","SamsungE_24:fa:c0","Broadcast","802.11","166","-81 dBm","Probe Request, SN=987, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"154","78.431939088","SamsungE_24:fa:c0","Broadcast","802.11","166","-74 dBm","Probe Request, SN=53, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"155","78.454109451","SamsungE_24:fa:c0","Broadcast","802.11","155","-77 dBm","Probe Request, SN=54, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"156","78.455145224","SamsungE_24:fa:c0","Broadcast","802.11","160","-77 dBm","Probe Request, SN=55, FN=0, Flags=........C, SSID=""pollo"""
"157","78.456312720","SamsungE_24:fa:c0","Broadcast","802.11","166","-76 dBm","Probe Request, SN=56, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"158","78.462696348","SamsungE_24:fa:c0","Broadcast","802.11","155","-75 dBm","Probe Request, SN=57, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"159","78.463780548","SamsungE_24:fa:c0","Broadcast","802.11","160","-77 dBm","Probe Request, SN=58, FN=0, Flags=........C, SSID=""pollo"""
"160","78.464831779","SamsungE_24:fa:c0","Broadcast","802.11","166","-75 dBm","Probe Request, SN=59, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
