"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"4","0.304812834","SamsungE_24:fa:c0","Broadcast","802.11","166","-38 dBm","Probe Request, SN=404, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"5","0.335324246","SamsungE_24:fa:c0","Broadcast","802.11","166","-37 dBm","Probe Request, SN=406, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"7","0.920135849","SamsungE_24:fa:c0","Broadcast","802.11","166","-43 dBm","Probe Request, SN=413, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"8","1.103577016","SamsungE_24:fa:c0","Broadcast","802.11","166","-36 dBm","Probe Request, SN=416, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"9","1.134425470","SamsungE_24:fa:c0","Broadcast","802.11","166","-36 dBm","Probe Request, SN=418, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"10","1.329369018","SamsungE_24:fa:c0","Broadcast","802.11","166","-37 dBm","Probe Request, SN=419, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"11","1.344851846","SamsungE_24:fa:c0","Broadcast","802.11","166","-37 dBm","Probe Request, SN=420, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"12","1.360285599","SamsungE_24:fa:c0","Broadcast","802.11","166","-36 dBm","Probe Request, SN=421, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"13","1.511434850","SamsungE_24:fa:c0","Broadcast","802.11","166","-35 dBm","Probe Request, SN=422, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"14","1.526892347","SamsungE_24:fa:c0","Broadcast","802.11","166","-36 dBm","Probe Request, SN=423, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"15","1.542049345","SamsungE_24:fa:c0","Broadcast","802.11","166","-36 dBm","Probe Request, SN=424, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"32","9.822552157","SamsungE_24:fa:c0","Broadcast","802.11","155","-37 dBm","Probe Request, SN=516, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"33","9.824828933","SamsungE_24:fa:c0","Broadcast","802.11","166","-37 dBm","Probe Request, SN=518, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"34","9.911027371","SamsungE_24:fa:c0","Broadcast","802.11","155","-36 dBm","Probe Request, SN=519, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"35","9.912037520","SamsungE_24:fa:c0","Broadcast","802.11","160","-36 dBm","Probe Request, SN=520, FN=0, Flags=........C, SSID=""pollo"""
"36","9.913245690","SamsungE_24:fa:c0","Broadcast","802.11","166","-37 dBm","Probe Request, SN=521, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"37","9.919723279","SamsungE_24:fa:c0","Broadcast","802.11","155","-36 dBm","Probe Request, SN=522, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"38","9.920733791","SamsungE_24:fa:c0","Broadcast","802.11","160","-36 dBm","Probe Request, SN=523, FN=0, Flags=........C, SSID=""pollo"""
"39","9.921836037","SamsungE_24:fa:c0","Broadcast","802.11","166","-36 dBm","Probe Request, SN=524, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"40","10.095073277","SamsungE_24:fa:c0","Broadcast","802.11","155","-36 dBm","Probe Request, SN=525, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"41","10.096091314","SamsungE_24:fa:c0","Broadcast","802.11","160","-35 dBm","Probe Request, SN=526, FN=0, Flags=........C, SSID=""pollo"""
"42","10.097327396","SamsungE_24:fa:c0","Broadcast","802.11","166","-35 dBm","Probe Request, SN=527, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"44","10.105401068","SamsungE_24:fa:c0","Broadcast","802.11","155","-36 dBm","Probe Request, SN=528, FN=0, Flags=........C, SSID=Wildcard (Broadcast)"
"45","10.106540914","SamsungE_24:fa:c0","Broadcast","802.11","160","-35 dBm","Probe Request, SN=529, FN=0, Flags=........C, SSID=""pollo"""
"46","10.107681611","SamsungE_24:fa:c0","Broadcast","802.11","166","-36 dBm","Probe Request, SN=530, FN=0, Flags=........C, SSID=""DIEGODANIEL"""
"50","13.545153652","SamsungE_24:fa:c0","Broadcast","802.11","166","-39 dBm","Probe Request, SN=609, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"51","13.560543190","SamsungE_24:fa:c0","Broadcast","802.11","166","-39 dBm","Probe Request, SN=610, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"52","13.582594183","SamsungE_24:fa:c0","Broadcast","802.11","166","-38 dBm","Probe Request, SN=612, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"53","13.597954755","SamsungE_24:fa:c0","Broadcast","802.11","166","-38 dBm","Probe Request, SN=613, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"54","13.650618857","SamsungE_24:fa:c0","Broadcast","802.11","166","-37 dBm","Probe Request, SN=614, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"55","13.666118401","SamsungE_24:fa:c0","Broadcast","802.11","166","-38 dBm","Probe Request, SN=615, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"56","13.682052674","SamsungE_24:fa:c0","Broadcast","802.11","166","-39 dBm","Probe Request, SN=616, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
"61","15.665425292","SamsungE_24:fa:c0","Broadcast","802.11","166","-40 dBm","Probe Request, SN=649, FN=0, Flags=........C, SSID=""UNI_LIBRE_H"""
